Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda
@marynailsandbeauty_seveso,Mary Nails & Beauty • Centro Estetico,Seveso (MB),Nail e estetica,738,1,"cercato «nail seveso» nella ricerca di Instagram → profilo letto l'11/9: 2432 post, 738 follower",,,,
@vics.nailss,Vics Nails,Lentate sul Seveso (MB),Nail,676,1,"cercato «nail lentate sul seveso» nella ricerca di Instagram → profilo letto l'11/9: 57 post, 676 follower",,,,
@esteticalice_seveso_,EsteticAlice,Seveso (MB),Estetica,600,1,"cercato «estetica seveso» nella ricerca di Instagram → profilo letto l'11/9: 73 post, 600 follower",,,,
@nailsmeda,Meda Nails,Meda (MB),Nail,2531,1,"cercato «nail meda» nella ricerca di Instagram → profilo letto l'11/9: 1722 post, 2531 follower",,,,
@mirage_meda,Estetica Mirage,Meda (MB),Estetica,384,1,"cercato «estetica meda» nella ricerca di Instagram → profilo letto l'11/9: 28 post, 384 follower",,,,
@i_bova_parrucchieri,I Bova Parrucchieri,Meda (MB),Parrucchieri,498,1,"cercato «parrucchieri meda» nella ricerca di Instagram → profilo letto l'11/9: 821 post, 498 follower",,,,
@roox.nails_,Roox Nails,Seregno (MB),Nail,544,1,"cercato «nail seregno» nella ricerca di Instagram → profilo letto l'11/9: 740 post, 544 follower",,,,
@yb_luxurystudio_seregno,YB Luxury Studio,Seregno (MB),Nail,1201,1,"cercato «nail seregno» nella ricerca di Instagram → profilo letto l'11/9: 125 post, 1201 follower",,,,
@ge_nailsboutique,Nails Boutique Seregno,Seregno (MB),Nail,488,1,"cercato «nail seregno» nella ricerca di Instagram → profilo letto l'11/9: 61 post, 488 follower",,,,
@veronailsnailartstudio,Veronails,Seregno (MB),Nail,1399,1,"cercato «nail seregno» nella ricerca di Instagram → profilo letto l'11/9: 228 post, 1399 follower",,,,
@_angelnails_seregno_,Angel Nails,Seregno (MB),Nail,218,1,"cercato «nail seregno» nella ricerca di Instagram → profilo letto l'11/9: 19 post, 218 follower",,,,
@l.aura_estetica,L'Aura Estetica,Seregno (MB),Estetica,391,1,"cercato «estetica seregno» nella ricerca di Instagram → profilo letto l'11/9: 18 post, 391 follower",,,,
@estetica.evelyn,Centro Estetico Evelyn,Seregno (MB),Estetica,432,1,"cercato «estetica seregno» nella ricerca di Instagram → profilo letto l'11/9: 74 post, 432 follower",,,,
@ilparrucchiere_seregno,IL Parrucchiere,Seregno (MB),Parrucchieri,2811,1,"cercato «parrucchieri seregno» nella ricerca di Instagram → profilo letto l'11/9: 1938 post, 2811 follower",,,,
@monster_style_seregno,Monster Style,Seregno (MB),Parrucchieri,1534,1,"cercato «parrucchieri seregno» nella ricerca di Instagram → profilo letto l'11/9: 399 post, 1534 follower",,,,
@puracute,Puracute,Seregno (MB),Parrucchiere tricologo,623,1,"cercato «parrucchiere seregno» nella ricerca di Instagram → profilo letto l'11/9: 1948 post, 623 follower",,,,
@dons_barbershop_seregno,Don's Barbershop,Seregno (MB),Barber,1323,1,"cercato «barber seregno» nella ricerca di Instagram → profilo letto l'11/9: 159 post, 1323 follower",,,,
@barbershop_adamseregno,Adam Barbershop,Seregno (MB),Barber,525,1,"cercato «barber seregno» nella ricerca di Instagram → profilo letto l'11/9: 147 post, 525 follower",,,,
@thebarberclubseregno,The Barber Club,Seregno (MB),Barber,258,1,"cercato «barber seregno» nella ricerca di Instagram → profilo letto l'11/9: 25 post, 258 follower",,,,
@nails_by_xhesi_.barlassina,Nails by Xhesi,Barlassina (MB),Nail,1321,1,"cercato «nail barlassina» nella ricerca di Instagram → profilo letto l'11/9: 344 post, 1321 follower",,,,
@nailmooicesanomaderno,Nail Mooi,Cesano Maderno (MB),Nail,1766,1,"cercato «nail cesano maderno» nella ricerca di Instagram → profilo letto l'11/9: 1013 post, 1766 follower",,,,
@lilly.nails_cesano.maderno,Lilly Nails,Cesano Maderno (MB),Nail,224,1,"cercato «nail cesano maderno» nella ricerca di Instagram → profilo letto l'11/9: 101 post, 224 follower",,,,
@lily.nails.desio,Lily Nails di Francesca Vangi,Desio (MB),Nail,617,1,"cercato «nail desio» nella ricerca di Instagram → profilo letto l'11/9: 35 post, 617 follower",,,,
@giuliaprada.nailstudio,Giulia Prada Nail Studio,Desio (MB),Nail,660,1,"cercato «nail desio» nella ricerca di Instagram → profilo letto l'11/9: 142 post, 660 follower",,,,
@newstyle_desio,New Style,Desio (MB),Parrucchieri,415,1,"cercato «parrucchieri desio» nella ricerca di Instagram → profilo letto l'11/9: 49 post, 415 follower",,,,
@skinharmonybymelania,Skin Harmony by Melania,Desio (MB),Estetica avanzata,1536,1,"cercato «estetica desio» nella ricerca di Instagram → profilo letto l'11/9: 862 post, 1536 follower",,,,
@de_simone_parrucchiere_,Parrucchiere De Simone,Desio (MB),Parrucchieri,1753,1,"cercato «parrucchieri desio» nella ricerca di Instagram → profilo letto l'11/9: 339 post, 1753 follower",,,,
@fm_labeaute,FM La Beautè,Lissone (MB),Estetica avanzata,316,1,"cercato «estetica lissone» nella ricerca di Instagram → profilo letto l'11/9: 117 post, 316 follower",,,,
@anitaestetica,Anita Estetica,Lissone (MB),Estetica,1027,1,"cercato «estetica lissone» nella ricerca di Instagram → profilo letto l'11/9: 269 post, 1027 follower",,,,
@elisa.estetica.lissone,Elisa Estetica,Lissone (MB),Estetica,275,1,"cercato «estetica lissone» nella ricerca di Instagram → profilo letto l'11/9: 243 post, 275 follower",,,,
@franci.nails_,Franci Nails,Giussano (MB),Nail,1310,1,"cercato «nail giussano» nella ricerca di Instagram → profilo letto l'11/9: 1879 post, 1310 follower",,,,
@dany.nails.giussano,Dany Nails,Giussano (MB),Nail,252,1,"cercato «nail giussano» nella ricerca di Instagram → profilo letto l'11/9: 83 post, 252 follower",,,,
@maura_beauty_stylist,Maura Beauty Stylist,Giussano (MB),Estetica,982,1,"cercato «estetica giussano» nella ricerca di Instagram → profilo letto l'11/9: 613 post, 982 follower",,,,
@eversun_giussano,Eversun Estetica e Solarium,Giussano (MB),Estetica,362,1,"cercato «estetica giussano» nella ricerca di Instagram → profilo letto l'11/9: 290 post, 362 follower",,,,
@g.nails_caratebrianza,G Nails,Carate Brianza (MB),Nail,343,1,"cercato «nail carate brianza» nella ricerca di Instagram → profilo letto l'11/9: 329 post, 343 follower",,,,
@fiorediloto.caratebrianza,Fiore di Loto Estetica,Carate Brianza (MB),Estetica,624,1,"cercato «estetica carate brianza» nella ricerca di Instagram → profilo letto l'11/9: 69 post, 624 follower",,,,
@gbstudio____,GB Studio Nails & Beauty,Bovisio Masciago (MB),Nail e estetica,4417,1,"cercato «nail bovisio masciago» nella ricerca di Instagram → profilo letto l'11/9: 810 post, 4417 follower",,,,
@eg_estetica_glamour_misinto,Estetica Glamour di Martina Ciccolella,Misinto (MB),Estetica,756,1,"cercato «estetica misinto» nella ricerca di Instagram → profilo letto l'11/9: 1874 post, 756 follower",,,,
@centro_estetico.misinto,Rosa del Deserto Estetica & Solarium,Misinto (MB),Estetica,752,1,"cercato «estetica misinto» nella ricerca di Instagram → profilo letto l'11/9: 174 post, 752 follower",,,,
@valentinamandala_nails,Valentina Mandala Nails,Nova Milanese (MB),Nail,2087,1,"cercato «nail nova milanese» nella ricerca di Instagram → profilo letto l'11/9: 376 post, 2087 follower",,,,
@lamaisondichiara,La Maison di Chiara,Nova Milanese (MB),Estetica,455,1,"cercato «estetica nova milanese» nella ricerca di Instagram → profilo letto l'11/9: 18 post, 455 follower",,,,
@alibertiparrucchierii,Aliberti Hair Style,Nova Milanese (MB),Parrucchieri,542,1,"cercato «parrucchieri nova milanese» nella ricerca di Instagram → profilo letto l'11/9: 94 post, 542 follower",,,,
@dorotea_nailss,Dorotea Nails,Muggio (MB),Nail,211,1,"cercato «nail muggio» nella ricerca di Instagram → profilo letto l'11/9: 37 post, 211 follower",,,,
@hairtist_muggio,Hairtist,Muggio (MB),Parrucchieri,712,1,"cercato «parrucchieri muggio» nella ricerca di Instagram → profilo letto l'11/9: 540 post, 712 follower",,,,
@eliteparrucchieriestetica.mb,Elite Muggio,Muggio (MB),Parrucchieri e estetica,748,1,"cercato «parrucchieri muggio» nella ricerca di Instagram → profilo letto l'11/9: 553 post, 748 follower",,,,
@giorgia_artist,Giorgia Artist Nails & Beauty,Biassono (MB),Nail,888,1,"cercato «nail biassono» nella ricerca di Instagram → profilo letto l'11/9: 158 post, 888 follower",,,,
@besa_nails2800,Besa Nails,Besana in Brianza (MB),Nail,2493,1,"cercato «nail besana in brianza» nella ricerca di Instagram → profilo letto l'11/9: 1334 post, 2493 follower",,,,
@beautynails.jennyfer,Beauty Nails Jennyfer,Besana in Brianza (MB),Nail,225,1,"cercato «nail besana in brianza» nella ricerca di Instagram → profilo letto l'11/9: 32 post, 225 follower",,,,
@besana_milena_estetica,Milena Besana Estetica,Besana in Brianza (MB),Estetica,562,1,"cercato «estetica besana in brianza» nella ricerca di Instagram → profilo letto l'11/9: 121 post, 562 follower",,,,
@kinghoney_nails,King Honey Nails,Arcore (MB),Nail,927,1,"cercato «nail arcore» nella ricerca di Instagram → profilo letto l'11/9: 264 post, 927 follower",,,,
@beautydream_dibicenter,Estetica Beauty Dream,Arcore (MB),Estetica,234,1,"cercato «estetica arcore» nella ricerca di Instagram → profilo letto l'11/9: 308 post, 234 follower",,,,
@estetica.nicla,Centro Estetico di Nicla Sottocorna,Arcore (MB),Estetica,785,1,"cercato «estetica arcore» nella ricerca di Instagram → profilo letto l'11/9: 16 post, 785 follower",,,,
@bloomnails_vimercate,Bloom Nails,Vimercate (MB),Nail e estetica,622,1,"cercato «nail vimercate» nella ricerca di Instagram → profilo letto l'11/9: 69 post, 622 follower",,,,
@lab.bellezzaedimagrimento,Lab Bellezza e Dimagrimento,Vimercate (MB),Estetica,1364,1,"cercato «estetica vimercate» nella ricerca di Instagram → profilo letto l'11/9: 505 post, 1364 follower",,,,
@lb.esteticaavanzata,LB Estetica Avanzata,Vimercate (MB),Estetica avanzata,583,1,"cercato «estetica vimercate» nella ricerca di Instagram → profilo letto l'11/9: 159 post, 583 follower",,,,
@esteticakarismavimercate,Estetica Karisma,Vimercate (MB),Estetica,576,1,"cercato «estetica vimercate» nella ricerca di Instagram → profilo letto l'11/9: 363 post, 576 follower",,,,
@afrodite.estetica.agrate,Afrodite Estetica,Agrate Brianza (MB),Estetica,529,1,"cercato «estetica agrate brianza» nella ricerca di Instagram → profilo letto l'11/9: 373 post, 529 follower",,,,
@beautytales_studio,Beauty Tales,Agrate Brianza (MB),Tattoo e estetica,760,1,"cercato «tattoo agrate brianza» nella ricerca di Instagram → profilo letto l'11/9: 186 post, 760 follower",,,,
@madynails_md,Mady Nails,Concorezzo (MB),Nail,425,1,"cercato «nail concorezzo» nella ricerca di Instagram → profilo letto l'11/9: 731 post, 425 follower",,,,
@revolution.concorezzo,Revolution Parrucchiere,Concorezzo (MB),Parrucchieri,434,1,"cercato «parrucchieri concorezzo» nella ricerca di Instagram → profilo letto l'11/9: 407 post, 434 follower",,,,
@sb.nails3112,SB Nails & Beauty Room,Brugherio (MB),Nail e estetica,8702,1,"cercato «nail brugherio» nella ricerca di Instagram → profilo letto l'11/9: 83 post, 8702 follower",,,,
@beautyessence_brugherio,Beauty Essence,Brugherio (MB),Estetica avanzata,862,1,"cercato «estetica brugherio» nella ricerca di Instagram → profilo letto l'11/9: 35 post, 862 follower",,,,
@esteticaglamourbrugherio,Estetica Glamour,Brugherio (MB),Estetica,564,1,"cercato «estetica brugherio» nella ricerca di Instagram → profilo letto l'11/9: 303 post, 564 follower",,,,
@lauravaredonailshair,Laura Varedo Nails Hair,Varedo (MB),Nail e parrucchieri,272,1,"cercato «nail varedo» nella ricerca di Instagram → profilo letto l'11/9: 143 post, 272 follower",,,,
@parrucchiere_leo_varedo,Parrucchiere Leo,Varedo (MB),Parrucchieri,831,1,"cercato «parrucchieri varedo» nella ricerca di Instagram → profilo letto l'11/9: 846 post, 831 follower",,,,
@esthermateus.nails,Esther Mateus Nail Designer,Usmate Velate (MB),Nail,234,1,"cercato «nail usmate velate» nella ricerca di Instagram → profilo letto l'11/9: 36 post, 234 follower",,,,
@estetica_di_briosco,L'Estetica,Briosco (MB),Estetica,280,1,"cercato «estetica briosco» nella ricerca di Instagram → profilo letto l'11/9: 25 post, 280 follower",,,,
