comune,km,nome,piva,settore,cat_pg,fatturato,anno,personale,dipendenti,indirizzo_pg,indirizzo_legale,telefono,altri,fonte,livello,link_pg,ateco,attivita
Seveso,0.8,ELETECH S.R.L.,02779620968,Allestimento,"Audiovisivi apparecchi ed impianti - produzione, commercio e noleggio",2150441,2024,873511,da 10 a 15,"Via della Repubblica, 43 - 20822 Seveso (MB)","Via Della Repubblica, 43",0362 552552,0362 552553 · 0362 541276,ateco,esatto,https://www.paginegialle.it/seveso-mb/eletech,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi"
Giussano,7.1,IDEE E REALIZZAZIONI SRL,02980200964,Allestimento,Eventi e manifestazioni - impianti ed attrezzature,1449631,2024,225012,da 6 a 9,"Via Cilea Francesco, 4 - 20833 Giussano (MB)","Via Enrico Novati, 2",0362 351292,0362 862422 · 348 0417724,ateco,altra-sede,https://www.paginegialle.it/giussano-mb/fiere-allestimenti/idee-realizzazione-immagine-sortini-nicolo,16.23.21,
Paderno Dugnano,7.6,HIGH SPEED SRL,02211070962,Facchinaggio,"Facchinaggio, carico e scarico merci, portabagagli",4661949,2024,419090,da 10 a 15,"Via Cervi, 10 - 20037 Paderno Dugnano (MI)","Via Amendola, 3/5",02 91080464,,categoria,esatto,https://www.paginegialle.it/paderno-dugnano-mi/high-speed-societa-cooperativa,49.41,Trasporto di merci su strada
Senago,8.7,BRUNELLO S.R.L.,06416840962,Allestimento,Eventi e manifestazioni - impianti ed attrezzature,2248022,2024,1144246,da 20 a 49,"Via del Lavoro, 21 - 20030 Senago (MI)","Via Mazzini, 1",02 39561373,,categoria,esatto,https://www.paginegialle.it/brunellosrl-senago,43.21.01,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione)
Caronno Pertusella,9.3,ARTE E STRUTTURE SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA - IN BREVE ARTE E STRUTTURE S.R.L.S. UNIPERSONALE,03529460127,Allestimento,Eventi e manifestazioni - organizzazione,2278918,2024,444139,da 6 a 9,"Via Amilcare Ponchielli, 147 - 21042 Caronno Pertusella (VA)","Via Ponchielli, 147",02 83987422,,ateco,esatto,https://www.paginegialle.it/arte-e-strutture-caronno-pertusella-va,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi"
Garbagnate Milanese,9.8,PAMA SERVICE S.R.L.,06588230968,Facchinaggio,"Facchinaggio, carico e scarico merci, portabagagli",1462606,2024,835953,da 20 a 49,"Via XX Settembre, 1 - 20024 Garbagnate Milanese (MI)","Via Xx Settembre, 1",02 87077580,,categoria,senza-titolare,https://www.paginegialle.it/garbagnate-milanese-mi/componenti-elettronici/pama-service-impresa-pulizie,81.21,Pulizia generale (non specializzata) di edifici
Cantù,10.1,VIGANO' MUSICA S.R.L.,03427920131,Facchinaggio,"Facchinaggio, carico e scarico merci, portabagagli",1017875,2023,395228,da 10 a 15,"Via Milano, 129/D/E - 22063 Cantù (CO)","Viale Lombardia, 83",031 7372926,,categoria,esatto,https://www.paginegialle.it/cantu-co/facchinaggio/vigano-musica-s-r-l,49.41,Trasporto di merci su strada
Cormano,10.5,IDEALEGNO GROUP S.R.L.,05913240965,Allestimento,Eventi e manifestazioni - impianti ed attrezzature,2397801,2024,573194,da 10 a 15,"Via Po, 94 - 20032 Cormano (MI)","Via Fabio Filzi, 68",02 6151294,02 66305846,ateco,esatto,https://www.paginegialle.it/cormano-mi/fiere-allestimenti/idealegno-group,16.23.21,
Bollate,10.7,XCOM SRL,07053320961,Allestimento,Eventi e manifestazioni - impianti ed attrezzature,1320693,2024,139471,1,"Via Madonna in Campagna, 58 - 20021 Bollate (MI)","Via Monte Cervino, 1",02 3560069,,ateco,esatto,https://www.paginegialle.it/bollate-mi/fiere-allestimenti/xcom,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi"
Cucciago,11.2,SEVEN 99 - SOCIETA' COOPERATIVA,02411050137,Facchinaggio,"Cooperative produzione, lavoro e servizi",6451938,,,,"Via per Cantù, 22 - 22060 Cucciago (CO)","Via Cantu', 22",031 787281,351 8680600,ateco,esatto,https://www.paginegialle.it/seven99sc-cucciago,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Monza,12.5,BUENAVISTA COOPERATIVA SOCIALE,03343780965,Facchinaggio,"Cooperative produzione, lavoro e servizi",3449244,,,,Via Stucchi G. Battista - 20900 Monza (MB),"Via Gerardo Dei Tintori, 18",039 2847071,039 2844076,ateco,esatto,https://www.paginegialle.it/monza-mb/stazioni-di-servizio/buenavista-cooperativa-sociale,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Monza,12.5,COOPERATIVA FACCHINI PORTABAGAGLI SRL,01151790159,Facchinaggio,"Facchinaggio, carico e scarico merci, portabagagli",962686,,,,"Via Tonale, 4 - 20900 Monza (MB)","Presso Aeroporto E.forlanini, SNC",02 70200257,,ateco,altra-sede,https://www.paginegialle.it/milano-mi/autotrasporti/cooperativa-facchini-portabagagli,52.24,Movimentazione merci
Novate Milanese,12.8,CONGRESS SERVICE 2000 S.R.L.,09722420156,Allestimento,Eventi e manifestazioni - organizzazione,2731041,2024,265204,da 3 a 5,"Via Boito Arrigo, 6 - 20026 Novate Milanese (MI)","Via Della Lega Lombarda, 1",02 3544560,02 39104168,ateco,altra-sede,https://www.paginegialle.it/novate-milanese-mi/organizzazione-eventi/congress-service-2000-s-r-l,90.02.01,Noleggio con operatore di strutture ed attrezzature per manifestazioni e spettacoli
Villasanta,13.4,KOBA GROUP S.R.L.,07989090969,Allestimento,Eventi e manifestazioni - impianti ed attrezzature,6770958,2024,1124848,da 20 a 49,"Via dei Boschi, 19 - 20852 Villasanta (MB)","Strada Dei Boschi, 19",039 305726,039 2110381,categoria,esatto,https://www.paginegialle.it/villasanta-mb/marketing/koba-group,73.11.02,Conduzione di campagne di marketing e altri servizi pubblicitari
