comune,km,nome,piva,gia_25_09,cat_pg,fatturato,anno,personale,dipendenti,indirizzo_pg,indirizzo_legale,telefono,altri,fonte,livello,link_pg,ateco,attivita
Garbagnate Milanese,9.8,PAMA SERVICE S.R.L.,06588230968,si,"Facchinaggio, carico e scarico merci, portabagagli",1462606,2024,835953,da 20 a 49,"Via XX Settembre, 1 - 20024 Garbagnate Milanese (MI)","Via Xx Settembre, 1",02 87077580,,categoria,senza-titolare,https://www.paginegialle.it/garbagnate-milanese-mi/componenti-elettronici/pama-service-impresa-pulizie,81.21,Pulizia generale (non specializzata) di edifici
Cucciago,11.2,SEVEN 99 - SOCIETA' COOPERATIVA,02411050137,si,"Cooperative produzione, lavoro e servizi",6451938,,,,"Via per Cantù, 22 - 22060 Cucciago (CO)","Via Cantu', 22",031 787281,351 8680600,ateco,esatto,https://www.paginegialle.it/seven99sc-cucciago,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Monza,12.5,BUENAVISTA COOPERATIVA SOCIALE,03343780965,si,"Cooperative produzione, lavoro e servizi",3449244,,,,Via Stucchi G. Battista - 20900 Monza (MB),"Via Gerardo Dei Tintori, 18",039 2847071,039 2844076,ateco,esatto,https://www.paginegialle.it/monza-mb/stazioni-di-servizio/buenavista-cooperativa-sociale,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Monza,12.5,COOPERATIVA FACCHINI PORTABAGAGLI SRL,01151790159,si,"Facchinaggio, carico e scarico merci, portabagagli",962686,,,,"Via Tonale, 4 - 20900 Monza (MB)","Presso Aeroporto E.forlanini, SNC",02 70200257,,ateco,altra-sede,https://www.paginegialle.it/milano-mi/autotrasporti/cooperativa-facchini-portabagagli,52.24,Movimentazione merci
Milano,14.5,INTERNATIONAL MOVING GROUP TRASLOCHI E SERVIZI SOCIETA'A RESPONSA BILITA' LIMITAT,09116680969,si,"Facchinaggio, carico e scarico merci, portabagagli",602917,2022,119170,da 10 a 15,"Via Cialdini Enrico, 111 - 20161 Milano (MI)","Via Enrico Cialdini, 111",338 5486454,02 3782137 · 02 36769150,ateco,via,https://www.paginegialle.it/milano-mi/facchinaggio/international-moving-group-traslochi-servizi-socie,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Milano,15.9,SOCIETA' COOPERATIVA FLY MULTISERVIZI,11312140962,si,"Facchinaggio, carico e scarico merci, portabagagli",728757,,,,"Via Vare' Giovanni Battista, 26 - 20158 Milano (MI)","Via Giovanni Battista Vare, 26",02 64082852,,ateco,esatto,https://www.paginegialle.it/milano-mi/facchinaggio/fly-multiservizi,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Milano,18.2,COOPERATIVA AZZURRA SOCIETA' COOPERATIVA,07613420152,si,"Facchinaggio, carico e scarico merci, portabagagli",5538850,,,,"Piazza Duca D'Aosta, 1 - 20125 Milano (MI)","Via Roncaglia, 14",02 67073608,328 4817385 · 081 5185600 · 333 1448593 · 339 1201238 · 392 8283704 · 02 36758414,ateco,esatto,https://www.paginegialle.it/milano-mi/azzurra-s-r-l,52.24,Movimentazione merci
Milano,18.8,ON - BOARD S.R.L.,10931470966,si,"Facchinaggio, carico e scarico merci, portabagagli",9411884,2023,6725561,da 3 a 5,"Viale Tunisia, 43 - 20124 Milano (MI)","Via Ruggiero Settimo, 4",02 6555745,02 41403080,ateco,esatto,https://www.paginegialle.it/milano-mi/on-board_2,52.24,Movimentazione merci
Milano,19.9,SILMA S.R.L.S.,10508490967,si,Consorzi,763120,2022,548678,da 6 a 9,"Via Saffi Aurelio, 34 - 20123 Milano (MI)","Viale Scarampo Lodovico, 49",02 34538334,,ateco,esatto,https://www.paginegialle.it/milano-mi/consorzi/consorzio-nazionale-silma-soc-coop_21914855,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Milano,20.3,DELIVERY ONE S.R.L.,10919440965,si,"Facchinaggio, carico e scarico merci, portabagagli",9619377,2023,9239764,1,"Via Filzi Fabio, 4 - 20124 Milano (MI)","Via Ruggiero Settimo, 4",02 66710827,02 6702440 · 02 41409577,ateco,esatto,https://www.paginegialle.it/milano-mi/delivery-one,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Milano,20.3,ALLIMPIA S.R.L.,06680210967,si,"Facchinaggio, carico e scarico merci, portabagagli",934780,2016,309002,nessuno,"Viale Pirelli Piero e Alberto, 16 - 20126 Milano (MI)","Viale Piero Ed Alberto Pirelli, 16",800 090124,348 2548016 · 371 1651825 · 329 5885292,categoria,esatto,https://www.paginegialle.it/milano-mi/imprese-di-pulizia/allimpia,81.21,Pulizia generale (non specializzata) di edifici
Milano,20.9,LO.DI. S.R.L.,10446140963,si,"Facchinaggio, carico e scarico merci, portabagagli",2277847,2020,1415322,da 50 a 99,"Via Lomellina, 62 - 20133 Milano (MI)","Corso Magenta, 56",02 70007048,,categoria,esatto,https://www.paginegialle.it/milano-mi/lo-di,52.24,Movimentazione merci
Busto Arsizio,21.5,PUNTO SERVIZI - SOCIETA' COOPERATIVA,02774350124,si,"Facchinaggio, carico e scarico merci, portabagagli",2156545,,,,"Via Torquato Tasso, 8 - 21052 Busto Arsizio (VA)","Via Milano, 5",0331 677970,,categoria,esatto,https://www.paginegialle.it/punto-servizi-societa-cooperativa-va,52.24,Movimentazione merci
Milano,21.9,NIENTE DI MALE SOCIETA' COOPERATIVA P.A.,07346810968,si,"Facchinaggio, carico e scarico merci, portabagagli",6996602,,,,"Via Cesare Lombroso, 54 - 20100 Milano (MI)","Via Cesare Lombroso, 54",02 72193525,,categoria,senza-titolare,https://www.paginegialle.it/milano-mi/facchinaggio/niente-di-male-cooperativa,52.24.4,Movimento merci relativo ad altri trasporti terrestri
